user_id,username,password_hash,email,created_at,role
1,hlytlle0,$2a$04$kh6dBT9NeL3vRzv/AvYK7uQsQoIEvZenw8uAhFUgGbCxAH/ytgS2q,areddick0@mayoclinic.com,10/28/2024,sales
2,kpavelka1,$2a$04$5IpowmBh/BB13YAOOPN6puFmbpsEK8g2GZlhDFq019fdZo5nwRIR2,vsoreau1@scientificamerican.com,11/26/2024,warehouse
3,rcoverly2,$2a$04$eH1ahq9eVLv4epcRxDGotut4RFDHV6l/EaWyXFarL0FW8PGu8wUL2,ogainor2@creativecommons.org,12/22/2023,admin
4,aderuggiero3,$2a$04$jWWbTFPsY45lZDTJH4SlKuWLQf08ZhsF.yag60ZIX.CFoS07.4CU.,mmachent3@storify.com,4/21/2024,manager
5,npretley4,$2a$04$MGZs2aZUfbvWQpzHVhZIaeQuIdpHIiM/yUfoVJODmn.fTOCjwUvvK,knelmes4@unesco.org,7/5/2024,admin
6,nbowdrey5,$2a$04$nxhdIWVjSMCyc.eCBM1Asu8Rh7KNDq6W2mSHWmqfOHPmFD8c5wtUe,aferreo5@diigo.com,7/26/2024,customer service
7,fglacken6,$2a$04$S/cWuSIpYTY1wWZRlDvrSOD2V4HPYY38bWdjrLzxS087uqK50rSNS,cabrami6@icq.com,9/1/2024,warehouse
8,dmacek7,$2a$04$dTj4K97GwbRx7Sa/5d4LIesg4bV0TfbkZ4SFuFbtMTfyBxBaUWW4O,ithorburn7@vimeo.com,2/3/2024,admin
9,mlutty8,$2a$04$Sb4t4UBLK5hXJ76ODhSe5.cs3Fv/nbZaOy8n438M14P6v6MzEaH9O,mtuckwood8@scribd.com,4/20/2024,warehouse
10,obell9,$2a$04$dBhWhNp7Lucpdc6IRonYMeyGHhvUVyQPzrkbxwh5YDgVpcf5u8gXO,dconiam9@umich.edu,6/7/2024,warehouse
11,dkillgusa,$2a$04$zANHUowLNci5wRgB/wZk4O8SJNfVJRmIooN6H.Hd98vLwA20jGTcu,gincognaa@sourceforge.net,11/5/2024,warehouse
12,jflancinbaumb,$2a$04$oAmFZVkc2bE22stahxFm5.UT/1zUS0aUzBWIdZjYTHp5II4OgId6C,jtebbeb@dyndns.org,10/19/2024,customer service
13,ctrathanc,$2a$04$NPNl87bwSKGwEnGLaCCXN.3SlaiQImFiD2dBMqkRPYV/kOdtotBMi,xfeenyc@istockphoto.com,5/23/2024,warehouse
14,jelloitd,$2a$04$D93OBsZEY9cjGuNJl4vjNuwiiCZdeLDrwIUq1.zBeAVAnGnMSAyQe,asutchd@bloomberg.com,5/8/2024,manager
15,gimmse,$2a$04$lciVGdcA9sgPhfqOYQgIDuQ1h7QmJfHzzm/pOfdM4GjGTszmuasvC,sphinnise@acquirethisname.com,2/15/2024,warehouse
16,ycobbledickf,$2a$04$Wiyf6O654qYj50L2USajFOv.xvzNa1tViktFZYg3D/RpZYXIVgr7C,rlenthallf@skype.com,6/3/2024,admin
17,ssizlandg,$2a$04$y3jXe5fjUPUUu48hSr.PSOpkipuE17ZBCaYZHTkE.tRge.ZWPEja2,fstorrockg@gnu.org,1/1/2024,manager
18,lfriskeyh,$2a$04$kfYIoW.NiEj9HytpBLi/O.bHgGNEKMBfC2XZEVsaIeEKzJYPwrwrG,mkillh@hubpages.com,4/26/2024,sales
19,mlempertzi,$2a$04$FqLL4HzcxZTnbpJBYXiVburDa7VmhhLRaQap5VJIdvMIGgsXCN41G,bdulakei@cam.ac.uk,11/22/2024,warehouse
